"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 12:09:21 GMT 2023","Thu Apr 13 12:09:26 GMT 2023","5651","Conduit_code.Main","test_main","TestConduitPage","","","Enter data from file",""
"passed","Thu Apr 13 12:08:01 GMT 2023","Thu Apr 13 12:08:03 GMT 2023","1596","Conduit_code.Main","test_main","TestConduitPage","","","Visit all pages",""
"passed","Thu Apr 13 12:08:09 GMT 2023","Thu Apr 13 12:08:39 GMT 2023","30017","Conduit_code.Main","test_main","TestConduitPage","","","Modify entered data",""
"failed","Thu Apr 13 12:07:52 GMT 2023","Thu Apr 13 12:07:54 GMT 2023","2698","Conduit_code.Main","test_main","TestConduitPage","","","Sign up - proper data",""
"passed","Thu Apr 13 12:09:27 GMT 2023","Thu Apr 13 12:09:30 GMT 2023","2710","Conduit_code.Main","test_main","TestConduitPage","","","Save data to file",""
"passed","Thu Apr 13 12:08:03 GMT 2023","Thu Apr 13 12:08:08 GMT 2023","4501","Conduit_code.Main","test_main","TestConduitPage","","","New data entry",""
"passed","Thu Apr 13 12:07:47 GMT 2023","Thu Apr 13 12:07:51 GMT 2023","3833","Conduit_code.Main","test_main","TestConduitPage","","","Accept cookies","It calls the subpage opening function of POM (Page Object Model), which includes accepting cookies.
Assert: whether the cookie panel appears after page refresh."
"passed","Thu Apr 13 12:08:40 GMT 2023","Thu Apr 13 12:09:20 GMT 2023","39956","Conduit_code.Main","test_main","TestConduitPage","","","Delete entered, modified data",""
"passed","Thu Apr 13 12:07:55 GMT 2023","Thu Apr 13 12:07:58 GMT 2023","2464","Conduit_code.Main","test_main","TestConduitPage","","","Sign in - proper data",""
"passed","Thu Apr 13 12:09:31 GMT 2023","Thu Apr 13 12:09:34 GMT 2023","3527","Conduit_code.Main","test_main","TestConduitPage","","","Logout",""
"passed","Thu Apr 13 12:07:59 GMT 2023","Thu Apr 13 12:08:00 GMT 2023","1574","Conduit_code.Main","test_main","TestConduitPage","","","Collecting data into list",""
