"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 09 14:06:52 GMT 2023","Sun Apr 09 14:06:52 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Logout",""
"broken","Sun Apr 09 14:06:48 GMT 2023","Sun Apr 09 14:06:48 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","New data entry",""
"broken","Sun Apr 09 14:06:51 GMT 2023","Sun Apr 09 14:06:51 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Enter data from file",""
"broken","Sun Apr 09 14:06:51 GMT 2023","Sun Apr 09 14:06:51 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Save data to file",""
"broken","Sun Apr 09 14:06:46 GMT 2023","Sun Apr 09 14:06:46 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Collecting data into list",""
"broken","Sun Apr 09 14:06:50 GMT 2023","Sun Apr 09 14:06:50 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Delete entered, modified data",""
"broken","Sun Apr 09 14:06:47 GMT 2023","Sun Apr 09 14:06:47 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Visit all pages",""
"broken","Sun Apr 09 14:06:49 GMT 2023","Sun Apr 09 14:06:49 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Modify entered data",""
"broken","Sun Apr 09 14:06:43 GMT 2023","Sun Apr 09 14:06:43 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Accept cookies",""
"broken","Sun Apr 09 14:06:45 GMT 2023","Sun Apr 09 14:06:45 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Sign up - proper data",""
"broken","Sun Apr 09 14:06:46 GMT 2023","Sun Apr 09 14:06:46 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Sign in - proper data",""
