"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 13 14:00:52 GMT 2023","Thu Apr 13 14:00:52 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Enter data from file","It calls the Login-subpage opening, then form filling function of POM to log in.
After opening the subpage for 1st article, 3 comments are posted - read from a file.
Assert: whether the text of displayed comments are the same as the list generated from file."
"broken","Thu Apr 13 14:00:53 GMT 2023","Thu Apr 13 14:00:53 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Logout","It calls the Login-subpage opening, then form filling function of POM to log in.
By clicking on last navbar link, logging out is activated
Assert: whether the 2nd link of navbar turned into 'Sign in' = there's no logged in user"
"broken","Thu Apr 13 14:00:45 GMT 2023","Thu Apr 13 14:00:45 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Sign up - proper data","It calls the Register-subpage opening, then form filling function of POM to register.
Assert: whether the success message appears in the layered confirmation field."
"broken","Thu Apr 13 14:00:49 GMT 2023","Thu Apr 13 14:00:49 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","New data entry","It calls the Login-subpage opening, then form filling function of POM to log in.
By clicking on 2nd navbar link, the subpage for article creation is opened, and filled in
Assert: whether the button with text 'Post comment' appears justifying creation of article"
"broken","Thu Apr 13 14:00:46 GMT 2023","Thu Apr 13 14:00:46 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Sign in - proper data","It calls the Login-subpage opening, then form filling function of POM to log in.
Assert: whether the username appeared in the upper right navigation bar."
"broken","Thu Apr 13 14:00:47 GMT 2023","Thu Apr 13 14:00:47 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Collecting data into list","It calls the Login-subpage opening, then form filling function of POM to log in.
Then the first rows of the inner text (= title of articles) are collected into a list.
Assert: whether the collected list isn't empty."
"broken","Thu Apr 13 14:00:50 GMT 2023","Thu Apr 13 14:00:50 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Modify entered data","It calls the Login-subpage opening, then form filling function of POM to log in.
After searching and opening the subpage for created article, the title is modified
Assert: whether the article with modified title is found among the displayed articles"
"broken","Thu Apr 13 14:00:43 GMT 2023","Thu Apr 13 14:00:43 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Accept cookies","It calls the subpage opening function of POM (Page Object Model), which includes accepting cookies.
Assert: whether the cookie panel appears after page refresh."
"broken","Thu Apr 13 14:00:52 GMT 2023","Thu Apr 13 14:00:52 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Save data to file","It calls the Login-subpage opening, then form filling function of POM to log in.
After opening Settings subpage, data (except for password) are collected into a dictionary,
then written into a file.Assert: whether the data read from the created file are equal to the data in the dictionary."
"broken","Thu Apr 13 14:00:48 GMT 2023","Thu Apr 13 14:00:48 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Visit all pages","It calls the Login-subpage opening, then form filling function of POM to log in.
Then all the pages in the lower navigaton bar are visited
Assert: whether parent of the clickable last element of page-links turned active"
"broken","Thu Apr 13 14:00:51 GMT 2023","Thu Apr 13 14:00:51 GMT 2023","0","Conduit_code.Main","test_main","TestConduitPage","","","Delete entered, modified data","It calls the Login-subpage opening, then form filling function of POM to log in.
After searching and opening the subpage for modified article, the tarticle is deleted
Assert: whether the deleted article can't be found among the displayed articles"
